soap_category,main_cluster,subcluster,phrase
S,2,1,"over the weekend... three hours or and i got back, i was very light headed..."
S,2,1,"took a very long bike ride, about three hours, and upon returning, experienced lightheadedness and shortness of breath."
S,0,2,slight wheeze expiratory bilaterally
S,0,2,trace lower extremity edema.
S,0,2,slight expiratory wheezing bilaterally
S,0,2,"slight wheeze, expiratory wheeze, bilaterally."
S,3,0,trace lower extremity edema
S,1,0,shortness of breath
S,1,0,"took a very long bike ride, about three hours or and i got back, i was very light headed, i was short of breath"
S,2,1,it was hard to catch my breath afterwards
S,1,0,maybe i did have a little chest pain but it eventually went away after about an hour
S,0,2,"no chest pain,"
S,0,2,"no nausea or vomiting or abdominal pain,"
S,1,0,no one else sick in your family
S,0,1,"migraines under control with Imitrex,"
S,0,1,"reflux managed with Protonix,"
S,0,1,cataract surgery about four and a half months ago
S,0,2,"slight wheeze, expiratory wheeze, bilaterally"
S,3,0,trace lower extremity edema in your lower extremities
S,0,2,"normal chest x-ray,"
S,0,2,"normal pulmonary function tests,"
S,1,0,all labs look quite good
S,2,1,may have had an asthma exacerbation from exercising and with the allergies
S,0,2,"prescribe albuterol inhaler, two puffs every four hours as needed for wheezing or for shortness of breath"
S,1,0,order a pulmonary referral
S,1,0,see you in a couple weeks
S,2,1,"if you have this shortness of breath again, i want you to call me away"
