phrases,cluster_labels
I'm concerned about all the medications I'm taking but I'm doing.,3
You are on a fair amount of medications... we need to keep those stents open and help your heart heal.,0
When I stand up real fast I get really dizzy.,3
We do have you on a beta-blocker metoprolol... if you stand up too quickly it can cause you to be a little dizzy.,0
The stents are permanent... you're gonna be on aspirin for the rest of your life... Brilinta for another six months.,0
My A1C was close to sixty... my glucose is coming in about 130 fasting.,0
I have stage three CKD... kidney function is stable.,0
I threw all of those [Motrin/Advil] out.,2
I'm a bad patient... haven't seen my nephrologist in a year.,0
I need some refills on my medications.,3
I do appreciate a slight three out of six systolic ejection murmur... one plus nonpitting edema.,0
Life sucks... I've been kinda down ever since I had my heart attack... is there any medication...,3
I live with my dog and that's it... it's lonely.,3
I'll give that a try... a referral to psychiatry... mild depression.,0
Cardiac rehab... to be more active and have some confidence in exercising again.,1
Referral to doctor Miller... follow up with your nephrologist.,1
Order another hemoglobin A1C... referral for the dietitian.,1
Tylenol is okay for headaches instead of Motrin/Advil.,2
